county,dti_avg_2018,ltv_avg_2018,income_estimate_2018,pct_nonwhite_estimate_2018,pct_first_time_buyer_2018,dti_avg_2019,ltv_avg_2019,income_estimate_2019,pct_nonwhite_estimate_2019,pct_first_time_buyer_2019,dti_avg_2020,ltv_avg_2020,income_estimate_2020,pct_nonwhite_estimate_2020,pct_first_time_buyer_2020,dti_avg_2021,ltv_avg_2021,income_estimate_2021,pct_nonwhite_estimate_2021,pct_first_time_buyer_2021,dti_avg_2022,ltv_avg_2022,income_estimate_2022,pct_nonwhite_estimate_2022,pct_first_time_buyer_2022
37163,33.707,82.743,49289,45.31,32.751,31.896,79.61,51309,44.361,22.388,30.93,76.342,53799,45.689,16.14,31.986,72.253,55814,44.243,10.369,33.03,74.015,58475,46.75,18.884
37165,31.676,79.654,49289,49.165,20.27,31.359,82.404,51309,47.248,17.949,30.411,78.827,53799,49.524,18.605,30.896,74.199,55814,48.367,14.356,32.692,75.946,57962,51.673,17.293
37167,31.981,77.8,55209,15.186,20.874,31.464,77.988,57153,15.469,23.589,29.222,72.557,59517,14.374,10.688,29.409,70.783,64663,14.891,13.248,33.96,71.481,68683,19.18,23.165
37169,31.292,79.533,57188,8.12,27.652,29.115,77.981,59979,8.188,22.662,28.805,77.104,62324,7.702,16.77,28.069,72.182,64562,7.626,14.247,31.808,73.175,66563,10.962,20.657
37171,31.505,78.394,49289,14.187,17.523,30.646,78.101,51309,14.074,20.122,28.952,75.888,54619,14.438,11.592,29.566,73.212,59488,14.443,12.771,31.546,73.575,62889,18.411,20.378
37173,30.976,76.042,49544,13.602,9.756,31.857,73.322,51523,11.821,10.476,32.294,72.951,53799,13.825,6.635,31.291,73.466,55814,15.144,5.263,34.448,74.305,64059,20.153,6.716
37175,32.43,72.92,52765,7.689,17.413,33.579,72.483,53407,7.62,11.184,30.451,69.644,56527,7.908,8.195,30.497,66.259,61739,8.148,7.586,32.33,66.975,64537,12.846,12.685
37177,38.133,73.113,49289,46.68,13.333,24.9,80.441,51309,46.68,10.0,35.941,82.472,53799,46.68,17.647,28.625,74.544,55814,46.68,12.5,32.3,73.896,57962,42.1,20.0
37179,33.629,78.24,67278,21.059,20.571,31.595,76.972,70742,20.958,18.326,28.769,72.294,74342,19.921,9.161,29.125,68.538,77814,20.334,9.638,32.74,70.757,80486,30.127,22.333
37181,33.324,76.537,49289,50.145,21.622,31.337,78.06,51309,49.504,12.871,32.057,74.119,53799,49.115,11.894,30.028,71.44,55814,50.641,11.077,32.068,72.117,57962,53.24,19.774
37183,31.866,78.951,81433,34.183,31.65,30.357,77.511,84746,33.241,24.305,27.392,72.961,88590,31.824,13.229,27.703,69.644,93059,32.908,13.363,31.732,72.215,96753,41.511,27.149
37185,31.352,71.784,49289,35.247,2.459,31.891,72.391,51309,32.51,4.38,29.574,71.241,53799,30.337,4.487,29.04,66.013,55814,33.81,6.0,32.352,67.646,59290,39.585,6.173
37187,32.565,77.956,49289,56.773,17.391,34.167,83.967,51309,56.251,5.556,30.721,76.42,53799,55.084,13.953,32.2,78.074,55814,56.235,11.111,32.103,74.612,57962,56.113,20.69
37189,32.491,77.132,61635,6.179,15.197,30.261,75.708,65322,6.355,11.002,28.981,71.56,68289,6.324,5.894,28.931,68.385,73947,6.316,5.401,31.927,69.539,75347,11.334,9.634
37191,32.314,79.65,51424,39.446,27.354,30.427,79.758,52507,36.469,24.359,29.406,77.976,52655,36.001,19.193,30.127,75.734,54585,36.527,16.135,32.219,75.177,59856,44.269,23.68
37193,31.507,76.693,49289,11.783,24.46,30.086,76.063,51309,11.543,20.974,29.827,75.799,53799,11.222,13.817,29.819,72.21,56068,11.313,11.471,31.986,71.847,57962,14.031,17.877
